trial,prime,target,question,answer
1,F02_D001_minusHalfERB.wav,F02_D001_tar_minusHalfERB.wav,说话人准备去公园吗,NO
2,F02_D001_plusHalfERB.wav,F02_D001_tar_plusHalfERB.wav,说话人准备去公园吗,NO
3,F02_D002_minusHalfERB.wav,F02_D002_tar_minusHalfERB.wav,说话人还没有对象吗,NO
4,F02_D002_plusHalfERB.wav,F02_D002_tar_plusHalfERB.wav,说话人还没有对象吗,NO
5,F02_D003_minusHalfERB.wav,F02_D003_tar_minusHalfERB.wav,说话人在谈论自己的穿着吗,NO
6,F02_D003_plusHalfERB.wav,F02_D003_tar_plusHalfERB.wav,说话人在谈论自己的穿着吗,NO
7,F02_D004_minusHalfERB.wav,F02_D004_tar_minusHalfERB.wav,说话人提到了自己的同事吗,NO
8,F02_D004_plusHalfERB.wav,F02_D004_tar_plusHalfERB.wav,说话人提到了自己的同事吗,NO
9,F02_D005_minusHalfERB.wav,F02_D005_tar_minusHalfERB.wav,说话人之前有过对象吗,YES
10,F02_D005_plusHalfERB.wav,F02_D005_tar_plusHalfERB.wav,说话人之前有过对象吗,YES
11,F02_D006_minusHalfERB.wav,F02_D006_tar_minusHalfERB.wav,说话人的对象期待有自己的孩子吗,YES
12,F02_D006_plusHalfERB.wav,F02_D006_tar_plusHalfERB.wav,说话人的对象期待有自己的孩子吗,YES
13,F02_D007_minusHalfERB.wav,F02_D007_tar_minusHalfERB.wav,说话人认为ta对象会成为一位好家长吗,YES
14,F02_D007_plusHalfERB.wav,F02_D007_tar_plusHalfERB.wav,说话人认为ta对象会成为一位好家长吗,YES
15,F02_D008_minusHalfERB.wav,F02_D008_tar_minusHalfERB.wav,说话人这周要去见爱人的家长吗,NO
16,F02_D008_plusHalfERB.wav,F02_D008_tar_plusHalfERB.wav,说话人这周要去见爱人的家长吗,NO
17,F02_D009_minusHalfERB.wav,F02_D009_tar_minusHalfERB.wav,说话人在家中有怕的人吗,YES
18,F02_D009_plusHalfERB.wav,F02_D009_tar_plusHalfERB.wav,说话人在家中有怕的人吗,YES
19,F02_D010_minusHalfERB.wav,F02_D010_tar_minusHalfERB.wav,说话人的前任是个不孝顺的人吗,YES
20,F02_D010_plusHalfERB.wav,F02_D010_tar_plusHalfERB.wav,说话人的前任是个不孝顺的人吗,YES
